Orthogroup	Junonia_coenia	Danaus_plexippus
OG0000063	JC_09389-RA, JC_09388-RA, JC_09387-RA	DPOGS201994-PA
OG0000063	JC_09784-RA, JC_09386-RA	DPOGS201995-PA
OG0000063	JC_05993-RA	DPOGS205397-PA
OG0000066	JC_12980-RA, JC_12976-RA, JC_12972-RA, JC_12915-RA, JC_12971-RA, JC_12979-RA	DPOGS210132-PA
OG0000067	JC_13669-RA, JC_13668-RA	DPOGS204359-PA
OG0000068	JC_14221-RA, JC_14218-RA	DPOGS213409-PA, DPOGS212680-PA
OG0000069	JC_12062-RA, JC_12238-RA, JC_12239-RA, JC_12055-RA, JC_12059-RA, JC_12132-RA, JC_12060-RA, JC_12056-RA, JC_12058-RA, JC_12069-RA, JC_12061-RA, JC_12064-RA, JC_12057-RA, JC_14470-RA, JC_12053-RA, JC_12791-RA, JC_12073-RA	DPOGS206989-PA
OG0000071	JC_11424-RA	DPOGS205454-PA
OG0000073	JC_09483-RA	DPOGS205799-PA
OG0000073	JC_09579-RA	DPOGS208534-PA
OG0000073	JC_05260-RA, JC_09589-RA, JC_09588-RA, JC_09593-RA, JC_09587-RA	DPOGS213705-PA
OG0000075	JC_03636-RA	DPOGS201167-PA
OG0000075	JC_03615-RA, JC_03617-RA, JC_03616-RA	DPOGS201162-PA
OG0000075	JC_03392-RA	DPOGS209261-PA
OG0000076	JC_16781-RA	DPOGS204602-PA
OG0000076	JC_16784-RA	DPOGS213290-PA, DPOGS213292-PA
OG0000078	JC_13524-RA, JC_13603-RA, JC_13604-RA, JC_13602-RA, JC_13601-RA, JC_13525-RA, JC_13523-RA, JC_09868-RA, JC_13598-RA, JC_03795-RA, JC_13635-RA, JC_13606-RA, JC_13636-RA, JC_13637-RA, JC_14550-RA, JC_13600-RA, JC_13599-RA	DPOGS207021-PA
OG0000082	JC_15348-RA	DPOGS211069-PA
OG0000082	JC_15353-RA	DPOGS203868-PA
OG0000082	JC_15354-RA	DPOGS203867-PA
OG0000082	JC_15230-RA	DPOGS212546-PA
OG0000083	JC_14785-RA, JC_14784-RA, JC_14786-RA	DPOGS212183-PA
OG0000084	JC_09083-RA	DPOGS200123-PA
OG0000084	JC_09063-RA	DPOGS200060-PA
OG0000084	JC_09086-RA, JC_09085-RA, JC_09087-RA, JC_09088-RA, JC_09084-RA, JC_09089-RA, JC_09064-RA	DPOGS209897-PA
OG0000085	JC_05550-RA, JC_05545-RA, JC_05548-RA, JC_05547-RA, JC_05546-RA	DPOGS215579-PA
OG0000088	JC_09259-RA, JC_09269-RA	DPOGS202810-PA
OG0000088	JC_16432-RA	DPOGS215149-PA
OG0000088	JC_09263-RA, JC_09271-RA, JC_09267-RA, JC_09273-RA, JC_09262-RA, JC_09274-RA, JC_09260-RA, JC_09264-RA	DPOGS202814-PA
OG0000088	JC_09272-RA	DPOGS202808-PA
OG0000089	JC_13927-RA, JC_10950-RA, JC_03949-RA, JC_14794-RA, JC_15101-RA	DPOGS205237-PA
OG0000089	JC_03956-RA	DPOGS215500-PA
OG0000089	JC_02698-RA, JC_03955-RA	DPOGS204954-PA
OG0000090	JC_04442-RA, JC_04443-RA	DPOGS210053-PA, DPOGS210052-PA
OG0000091	JC_11192-RA	DPOGS213963-PA
OG0000092	JC_03404-RA, JC_03406-RA	DPOGS209254-PA
OG0000092	JC_03407-RA	DPOGS209259-PA, DPOGS209253-PA
OG0000093	JC_15360-RA	DPOGS202427-PA
