Orthogroup	Vanessa_cardui	Junonia_coenia
OG0000053	Vcard_DToL01333-RA	JC_00971-RA
OG0000053	Vcard_DToL01335-RA	JC_00972-RA
OG0000054	Vcard_DToL09709-RA	JC_07335-RA
OG0000054	Vcard_DToL09712-RA	JC_07330-RA
OG0000054	Vcard_DToL09711-RA	JC_07332-RA, JC_07331-RA
OG0000055	Vcard_DToL13935-RA, Vcard_DToL18184-RA	JC_03957-RA
OG0000055	Vcard_DToL18025-RA	JC_14448-RA
OG0000056	Vcard_DToL16040-RA	JC_14900-RA
OG0000057	Vcard_DToL13794-RA	JC_10436-RA, JC_10435-RA, JC_10433-RA, JC_10431-RA, JC_10432-RA
OG0000057	Vcard_DToL13796-RA	JC_10437-RA
OG0000057	Vcard_DToL04780-RA, Vcard_DToL04783-RA, Vcard_DToL04784-RA	JC_04526-RA, JC_04525-RA, JC_10434-RA
OG0000061	Vcard_DToL04117-RA	JC_03624-RA
OG0000062	Vcard_DToL05449-RA	JC_05075-RA
OG0000062	Vcard_DToL18008-RA	JC_17018-RA
OG0000062	Vcard_DToL18004-RA	JC_17015-RA
OG0000063	Vcard_DToL06735-RA, Vcard_DToL06751-RA, Vcard_DToL06743-RA, Vcard_DToL06750-RA, Vcard_DToL06742-RA	JC_09389-RA, JC_09388-RA, JC_09387-RA
OG0000063	Vcard_DToL06752-RA, Vcard_DToL06736-RA, Vcard_DToL06744-RA	JC_09784-RA, JC_09386-RA
OG0000063	Vcard_DToL09866-RA	JC_05993-RA
OG0000066	Vcard_DToL15093-RA, Vcard_DToL15095-RA, Vcard_DToL15092-RA, Vcard_DToL15090-RA, Vcard_DToL15089-RA, Vcard_DToL15088-RA	JC_12980-RA, JC_12976-RA, JC_12972-RA, JC_12915-RA, JC_12971-RA, JC_12979-RA
OG0000067	Vcard_DToL15559-RA, Vcard_DToL15557-RA	JC_13668-RA
OG0000068	Vcard_DToL16340-RA	JC_14221-RA
OG0000068	Vcard_DToL16337-RA	JC_14218-RA
OG0000069	Vcard_DToL07820-RA	JC_12056-RA
OG0000069	Vcard_DToL07819-RA, Vcard_DToL07818-RA	JC_12057-RA, JC_14470-RA, JC_12053-RA, JC_12791-RA, JC_12073-RA
OG0000071	Vcard_DToL11272-RA	JC_11424-RA
OG0000073	Vcard_DToL06863-RA	JC_09483-RA
OG0000073	Vcard_DToL06621-RA	JC_09579-RA
OG0000073	Vcard_DToL06614-RA	JC_05260-RA, JC_09589-RA, JC_09588-RA, JC_09593-RA, JC_09587-RA
OG0000075	Vcard_DToL04138-RA	JC_03636-RA
OG0000075	Vcard_DToL04124-RA	JC_03616-RA
OG0000075	Vcard_DToL04270-RA	JC_03392-RA
OG0000076	Vcard_DToL18781-RA	JC_16781-RA, JC_16784-RA
OG0000078	Vcard_DToL15658-RA, Vcard_DToL15656-RA	JC_13524-RA, JC_13603-RA, JC_13604-RA, JC_13602-RA, JC_13601-RA, JC_13525-RA, JC_13523-RA, JC_09868-RA, JC_13598-RA, JC_03795-RA, JC_13635-RA, JC_13606-RA, JC_13636-RA, JC_13637-RA, JC_14550-RA, JC_13600-RA, JC_13599-RA
OG0000079	Vcard_DToL05246-RA	JC_05044-RA, JC_05056-RA, JC_05053-RA, JC_05054-RA, JC_05052-RA, JC_05014-RA, JC_05012-RA, JC_05047-RA, JC_05040-RA, JC_05041-RA, JC_05008-RA, JC_05038-RA, JC_05006-RA, JC_05009-RA, JC_06349-RA, JC_00017-RA, JC_00016-RA, JC_05045-RA, JC_05013-RA, JC_05011-RA, JC_05039-RA, JC_05035-RA
OG0000082	Vcard_DToL17276-RA	JC_15348-RA
OG0000082	Vcard_DToL17266-RA	JC_15354-RA
OG0000082	Vcard_DToL17337-RA	JC_15231-RA
OG0000084	Vcard_DToL07564-RA	JC_09083-RA
OG0000085	Vcard_DToL03094-RA	JC_05545-RA, JC_05548-RA
OG0000085	Vcard_DToL03096-RA, Vcard_DToL03095-RA	JC_05547-RA, JC_05546-RA
OG0000088	Vcard_DToL06950-RA	JC_09259-RA, JC_09269-RA
OG0000088	Vcard_DToL06952-RA	JC_09263-RA, JC_09271-RA, JC_09267-RA, JC_09273-RA, JC_09262-RA, JC_09274-RA, JC_09260-RA, JC_09264-RA
OG0000089	Vcard_DToL17977-RA	JC_13927-RA, JC_10950-RA, JC_03949-RA, JC_14794-RA, JC_15101-RA
