Orthogroup	Heliconius_melpomene_melpomene	Heliconius_erato_lativitta
OG0000061	HMEL022441g1.t1	HEL_014349-RA, HEL_010277-RA
OG0000061	HMEL013741-RA, HMEL013739-RA, HMEL013737-RA	HEL_014346-RA
OG0000063	HMEL034759g1.t1	HEL_006297-RA
OG0000063	HMEL036487g1.t1	HEL_011543-RA
OG0000064	HMEL009540g1.t1, HMEL036517g1.t1	HEL_006875-RA, HEL_004219-RA, HEL_011218-RA
OG0000066	HMEL022604-RA	HEL_002081-RA, HEL_002082-RA
OG0000066	HMEL022648-RA	HEL_002071-RA, HEL_002074-RA
OG0000066	HMEL022651-RA	HEL_002075-RA
OG0000066	HMEL022625-RA, HMEL022664-RA	HEL_002085-RA
OG0000067	HMEL010779g1.t1	HEL_006896-RA
OG0000068	HMEL007507g1.t1, HMEL007505g1.t1	HEL_004817-RA
OG0000068	HMEL007506g1.t1	HEL_004816-RA
OG0000068	HMEL010997g1.t1	HEL_004813-RA, HEL_004812-RA
OG0000068	HMEL031347g1.t1	HEL_004809-RA, HEL_004810-RA, HEL_004818-RA
OG0000068	HMEL031344g1.t1, HMEL031346g1.t1	HEL_004807-RA
OG0000068	HMEL031345g1.t1	HEL_004805-RA, HEL_004806-RA, HEL_004804-RA, HEL_004796-RA, HEL_004808-RA, HEL_004819-RA, HEL_004798-RA
OG0000068	HMEL031342g1.t1	HEL_004803-RA, HEL_004797-RA
OG0000068	HMEL031343g1.t1	HEL_004795-RA
OG0000069	HMEL033323g1.t1, HMEL011062g1.t1	HEL_013143-RA
OG0000070	HMEL036665g1.t1	HEL_009336-RA, HEL_013576-RA, HEL_013574-RA, HEL_013575-RA, HEL_005006-RA, HEL_013212-RA, HEL_007197-RA, HEL_007198-RA, HEL_001815-RA, HEL_010209-RA, HEL_005855-RA, HEL_002271-RA, HEL_012876-RA, HEL_010210-RA, HEL_010860-RA, HEL_014588-RA, HEL_006998-RA, HEL_008874-RA, HEL_003773-RA, HEL_003774-RA, HEL_014604-RA, HEL_011249-RA, HEL_000997-RA, HEL_005856-RA, HEL_014589-RA, HEL_014587-RA, HEL_002270-RA, HEL_008600-RA, HEL_006997-RA, HEL_012877-RA, HEL_013600-RA, HEL_012768-RA, HEL_007217-RA, HEL_011898-RA, HEL_006343-RA, HEL_000998-RA, HEL_002125-RA, HEL_005004-RA, HEL_014354-RA, HEL_005005-RA, HEL_004763-RA
OG0000071	HMEL034508g1.t1	HEL_012672-RA
OG0000071	HMEL031688g1.t1	HEL_004446-RA, HEL_002089-RA, HEL_008612-RA, HEL_007397-RA, HEL_009249-RA, HEL_013447-RA, HEL_006033-RA, HEL_011525-RA, HEL_009009-RA, HEL_009007-RA, HEL_012671-RA, HEL_004289-RA, HEL_009846-RA, HEL_010495-RA, HEL_010347-RA, HEL_010983-RA, HEL_009301-RA
OG0000071	HMEL036457g1.t1	HEL_008611-RA, HEL_009250-RA, HEL_006034-RA, HEL_011986-RA, HEL_005722-RA, HEL_001383-RA, HEL_008569-RA
OG0000071	HMEL031689g1.t1	HEL_010348-RA
OG0000071	HMEL037575g1.t1	HEL_009008-RA
OG0000073	HMEL012052g1.t1	HEL_007878-RA
OG0000073	HMEL015732g1.t1	HEL_008003-RA
OG0000073	HMEL015726g1.t1	HEL_007997-RA, HEL_007992-RA
OG0000075	HMEL031751g1.t1	HEL_014330-RA, HEL_014326-RA, HEL_014344-RA
OG0000075	HMEL002852g1.t1	HEL_014328-RA, HEL_014331-RA
OG0000075	HMEL032963g1.t1	HEL_014345-RA, HEL_014343-RA
OG0000075	HMEL022365g1.t1	HEL_007561-RA
OG0000076	HMEL037276g1.t1	HEL_011714-RA
OG0000076	HMEL002849g1.t1	HEL_011716-RA, HEL_011713-RA, HEL_011735-RA, HEL_011717-RA, HEL_011733-RA, HEL_011718-RA, HEL_011712-RA, HEL_011711-RA
OG0000076	HMEL037285g1.t1, HMEL037282g1.t1	HEL_011734-RA
OG0000076	HMEL037284g1.t1	HEL_011730-RA, HEL_011731-RA
OG0000076	HMEL016075g1.t1	HEL_011729-RA
OG0000077	HMEL031854g1.t1	HEL_013279-RA
OG0000077	HMEL003397g1.t1	HEL_013281-RA
OG0000078	HMEL010630g1.t1	HEL_008245-RA, HEL_008246-RA
OG0000078	HMEL030578g1.t1	HEL_008243-RA, HEL_008244-RA
OG0000079	HMEL006318-RA	HEL_010373-RA
OG0000079	HMEL037179g1.t1	HEL_010374-RA
OG0000082	HMEL007401g1.t1	HEL_005977-RA
OG0000082	HMEL010076g1.t1	HEL_005961-RA
OG0000082	HMEL014537g1.t1	HEL_002182-RA
OG0000083	HMEL034647g1.t1, HMEL013165g1.t1	HEL_011890-RA
OG0000083	HMEL034646g1.t1	HEL_011891-RA, HEL_011894-RA
OG0000083	HMEL013158g1.t1	HEL_011900-RA
OG0000083	HMEL013164g1.t1	HEL_011888-RA
OG0000083	HMEL034644g1.t1	HEL_011892-RA
OG0000083	HMEL013160g1.t1	HEL_011897-RA
OG0000083	HMEL013159g1.t1	HEL_011899-RA
OG0000084	HMEL015484g1.t1	HEL_010679-RA
