Orthogroup	Heliconius_melpomene_melpomene	Bicyclus_anynana
OG0000004	HMEL022640-RA, HMEL022652-RA	Bany_02384-RA, Bany_02383-RA, Bany_02385-RA
OG0000005	HMEL034057g1.t1	Bany_02782-RA
OG0000005	HMEL035731g1.t1, HMEL035426g1.t1, HMEL031718g1.t1, HMEL034294g1.t1, HMEL036029g1.t1	Bany_16371-RA
OG0000005	HMEL031765g1.t1	Bany_04515-RA
OG0000005	HMEL034149g1.t1, HMEL033258g1.t1, HMEL032264g1.t1, HMEL030850g1.t1, HMEL035427g1.t1, HMEL034365g1.t1, HMEL030197g1.t1, HMEL030532g1.t1, HMEL034971g1.t1, HMEL033731g1.t1, HMEL033573g1.t1, HMEL030930g1.t1, HMEL030921g1.t1, HMEL033589g1.t1, HMEL031606g1.t1, HMEL036432g1.t1, HMEL036435g1.t1, HMEL035715g1.t1, HMEL031582g1.t1, HMEL036712g1.t1, HMEL037171g1.t1, HMEL034466g1.t1, HMEL036924g1.t1, HMEL037830g1.t1, HMEL036919g1.t1, HMEL030635g1.t1, HMEL032697g1.t1, HMEL038198g1.t1, HMEL030976g1.t1, HMEL031341g1.t1	Bany_13174-RA
OG0000006	HMEL036714g1.t1, HMEL037300g1.t1, HMEL030852g1.t1, HMEL036307g1.t1, HMEL032297g1.t1, HMEL034589g1.t1, HMEL031518g1.t1, HMEL033742g1.t1, HMEL035039g1.t1, HMEL035736g1.t1, HMEL035729g1.t1, HMEL017376g1.t1, HMEL036296g1.t1, HMEL030626g1.t1, HMEL032970g1.t1, HMEL016380g1.t1, HMEL036806g1.t1, HMEL031581g1.t1, HMEL017365g1.t1, HMEL033159g1.t1, HMEL032422g1.t1, HMEL014338g1.t1, HMEL032981g1.t1, HMEL032114g1.t1, HMEL031739g1.t1, HMEL036908g1.t1, HMEL034969g1.t1, HMEL034752g1.t1, HMEL037690g1.t1, HMEL007424g1.t1, HMEL035430g1.t1, HMEL034206g1.t1, HMEL032047g1.t1, HMEL036962g1.t1, HMEL032875g1.t1, HMEL014493g1.t1, HMEL013372g1.t1, HMEL037911g1.t1, HMEL033160g1.t1, HMEL034935g1.t1, HMEL037180g1.t1, HMEL018078g1.t1, HMEL030005g1.t1, HMEL035897g1.t1, HMEL031584g1.t1, HMEL032301g1.t1, HMEL035383g1.t1, HMEL032393g1.t1, HMEL034952g1.t1, HMEL036280g1.t1, HMEL013557g1.t1, HMEL035788g1.t1, HMEL037495g1.t1, HMEL035353g1.t1, HMEL035790g1.t1, HMEL035438g1.t1, HMEL030902g1.t1, HMEL037927g1.t1, HMEL032568g1.t1, HMEL030724g1.t1, HMEL031872g1.t1, HMEL030633g1.t1, HMEL035437g1.t1, HMEL036821g1.t1, HMEL035641g1.t1, HMEL036577g1.t1, HMEL032737g1.t1, HMEL036541g1.t1, HMEL037246g1.t1, HMEL003814g1.t1, HMEL035973g1.t1, HMEL032544g1.t1, HMEL032865g1.t1, HMEL036404g1.t1, HMEL034534g1.t1, HMEL004015g1.t1, HMEL033725g1.t1, HMEL032148g1.t1, HMEL030021g1.t1, HMEL030418g1.t1, HMEL032154g1.t1, HMEL033427g1.t1, HMEL033223g1.t1, HMEL031717g1.t1, HMEL036507g1.t1, HMEL033132g1.t1, HMEL036446g1.t1, HMEL035974g1.t1, HMEL035340g1.t1, HMEL033690g1.t1, HMEL033691g1.t1, HMEL033983g1.t1, HMEL036851g1.t1, HMEL033333g1.t1, HMEL035845g1.t1, HMEL034207g1.t1, HMEL034542g1.t1, HMEL036907g1.t1, HMEL035341g1.t1, HMEL003507g1.t1, HMEL035992g1.t1	Bany_07769-RA, Bany_12743-RA
OG0000007	HMEL012825g1.t1	Bany_12085-RA
OG0000007	HMEL030866g1.t1	Bany_05169-RA
OG0000007	HMEL009008g1.t1	Bany_04365-RA
OG0000007	HMEL003519g1.t1	Bany_17822-RA
OG0000007	HMEL013136g1.t1	Bany_18091-RA
OG0000007	HMEL033385g1.t1	Bany_12803-RA, Bany_12804-RA
OG0000007	HMEL021694g1.t1	Bany_03692-RA, Bany_15248-RA, Bany_07460-RA
OG0000007	HMEL012399g1.t1	Bany_03693-RA, Bany_03690-RA
OG0000007	HMEL016981g1.t1, HMEL016980g1.t1	Bany_17911-RA
OG0000009	HMEL037374g1.t1	Bany_06680-RA, Bany_06677-RA
OG0000009	HMEL011209g1.t1	Bany_06759-RA, Bany_06744-RA, Bany_06755-RA, Bany_06746-RA, Bany_06679-RA, Bany_06751-RA, Bany_06753-RA
OG0000010	HMEL032887g1.t1, HMEL033631g1.t1, HMEL033993g1.t1, HMEL016586g1.t1, HMEL034585g1.t1, HMEL030544g1.t1, HMEL034097g1.t1, HMEL030561g1.t1, HMEL036219g1.t1, HMEL034138g1.t1, HMEL034136g1.t1, HMEL030542g1.t1, HMEL037347g1.t1, HMEL007231g1.t1, HMEL030511g1.t1	Bany_07419-RA
OG0000010	HMEL030787g1.t1	Bany_03810-RA
OG0000010	HMEL034111g1.t1	Bany_12832-RA, Bany_07420-RA
OG0000010	HMEL030536g1.t1, HMEL034109g1.t1, HMEL034013g1.t1, HMEL030044g1.t1, HMEL030696g1.t1, HMEL003163g1.t1, HMEL033403g1.t1, HMEL031571g1.t1, HMEL033485g1.t1, HMEL034702g1.t1, HMEL033995g1.t1, HMEL032496g1.t1, HMEL034137g1.t1, HMEL016177g1.t1, HMEL033951g1.t1, HMEL034163g1.t1, HMEL034386g1.t1, HMEL035784g1.t1, HMEL030537g1.t1, HMEL030543g1.t1, HMEL034133g1.t1, HMEL031755g1.t1, HMEL035797g1.t1, HMEL037346g1.t1, HMEL035529g1.t1, HMEL016311g1.t1, HMEL032886g1.t1, HMEL034166g1.t1, HMEL034096g1.t1, HMEL036217g1.t1, HMEL031773g1.t1, HMEL037297g1.t1, HMEL030540g1.t1, HMEL030538g1.t1, HMEL034164g1.t1, HMEL037295g1.t1	Bany_12791-RA
OG0000011	HMEL020065g1.t1, HMEL033667g1.t1	Bany_13339-RA
OG0000011	HMEL033611g1.t1	Bany_13158-RA
OG0000011	HMEL017520g1.t1	Bany_13176-RA
OG0000011	HMEL003019g1.t1, HMEL003018g1.t1	Bany_13051-RA
OG0000011	HMEL003020g1.t1, HMEL011718g1.t1	Bany_05712-RA, Bany_13053-RA
OG0000011	HMEL003022g1.t1	Bany_13055-RA
OG0000012	HMEL036201g1.t1	Bany_10581-RA
OG0000012	HMEL036192g1.t1	Bany_10582-RA, Bany_10583-RA
OG0000012	HMEL036205g1.t1	Bany_10611-RA, Bany_10612-RA
OG0000012	HMEL036207g1.t1, HMEL036206g1.t1	Bany_10616-RA, Bany_10614-RA
OG0000013	HMEL034362g1.t1	Bany_13885-RA, Bany_13887-RA, Bany_17356-RA, Bany_02403-RA, Bany_16807-RA, Bany_02104-RA, Bany_12344-RA, Bany_02757-RA, Bany_15413-RA
OG0000013	HMEL031306g1.t1	Bany_07407-RA
OG0000013	HMEL035911g1.t1, HMEL036578g1.t1, HMEL031727g1.t1, HMEL031283g1.t1	Bany_16888-RA
OG0000017	HMEL035047g1.t1	Bany_02945-RA, Bany_03209-RA, Bany_02946-RA, Bany_06342-RA, Bany_04927-RA, Bany_17781-RA, Bany_16445-RA, Bany_09385-RA, Bany_07556-RA, Bany_14281-RA, Bany_17083-RA, Bany_10943-RA, Bany_03447-RA, Bany_06553-RA, Bany_12774-RA, Bany_02511-RA, Bany_04960-RA, Bany_08490-RA, Bany_16114-RA, Bany_05474-RA, Bany_01525-RA, Bany_10470-RA, Bany_10469-RA, Bany_05475-RA
OG0000018	HMEL030430g1.t1	Bany_16974-RA
OG0000018	HMEL016357g1.t1, HMEL030844g1.t1, HMEL014640g1.t1, HMEL004900g1.t1, HMEL008140g1.t1, HMEL020142g1.t1	Bany_04504-RA
OG0000021	HMEL009528g1.t1	Bany_12775-RA
OG0000022	HMEL030997g1.t1	Bany_00839-RA
OG0000022	HMEL017624g1.t1	Bany_16283-RA
OG0000022	HMEL031459g1.t1	Bany_01873-RA, Bany_00842-RA, Bany_01876-RA, Bany_01804-RA, Bany_16373-RA
OG0000023	HMEL033227g1.t1	Bany_10369-RA, Bany_10129-RA, Bany_05735-RA, Bany_10428-RA
OG0000023	HMEL033442g1.t1, HMEL030258g1.t1	Bany_04357-RA
OG0000023	HMEL038036g1.t1	Bany_17087-RA
OG0000024	HMEL012613g1.t1	Bany_08738-RA
OG0000024	HMEL012615g1.t1	Bany_08736-RA
