Orthogroup	Heliconius_erato_lativitta	Bicyclus_anynana
OG0000183	HEL_012769-RA	Bany_11605-RA
OG0000183	HEL_006620-RA	Bany_04948-RA
OG0000183	HEL_003942-RA	Bany_05295-RA
OG0000184	HEL_004299-RA	Bany_10868-RA
OG0000184	HEL_004298-RA	Bany_10869-RA
OG0000185	HEL_011155-RA	Bany_13249-RA
OG0000185	HEL_011156-RA	Bany_13248-RA
OG0000185	HEL_011157-RA	Bany_13247-RA
OG0000186	HEL_006287-RA, HEL_013685-RA	Bany_12933-RA, Bany_12934-RA, Bany_12932-RA, Bany_17541-RA, Bany_17540-RA
OG0000187	HEL_010066-RA	Bany_01200-RA
OG0000187	HEL_010067-RA	Bany_01201-RA
OG0000188	HEL_009331-RA, HEL_009330-RA, HEL_009332-RA, HEL_009329-RA	Bany_17928-RA
OG0000188	HEL_009328-RA	Bany_17929-RA, Bany_17926-RA, Bany_17925-RA, Bany_14775-RA
OG0000190	HEL_014277-RA, HEL_014275-RA, HEL_014271-RA, HEL_014272-RA, HEL_014273-RA, HEL_014276-RA, HEL_014274-RA	Bany_11035-RA, Bany_11034-RA
OG0000191	HEL_007069-RA, HEL_007065-RA, HEL_007070-RA	Bany_07730-RA
OG0000193	HEL_011020-RA, HEL_011022-RA	Bany_10556-RA
OG0000196	HEL_002689-RA	Bany_04640-RA, Bany_04860-RA
OG0000197	HEL_002519-RA	Bany_04457-RA
OG0000197	HEL_001340-RA	Bany_00477-RA
OG0000198	HEL_009068-RA	Bany_02797-RA
OG0000198	HEL_009067-RA	Bany_02795-RA
OG0000198	HEL_009066-RA	Bany_02793-RA, Bany_02792-RA, Bany_02791-RA
OG0000200	HEL_007527-RA	Bany_08252-RA
OG0000201	HEL_001000-RA, HEL_001001-RA	Bany_14127-RA, Bany_14125-RA
OG0000202	HEL_000098-RA	Bany_10409-RA
OG0000205	HEL_005648-RA	Bany_05865-RA, Bany_05999-RA, Bany_05998-RA, Bany_05997-RA, Bany_05996-RA, Bany_05864-RA, Bany_04929-RA
OG0000206	HEL_013033-RA, HEL_013039-RA, HEL_013044-RA, HEL_013043-RA, HEL_013031-RA, HEL_013032-RA, HEL_013035-RA, HEL_013034-RA, HEL_013038-RA, HEL_013042-RA	Bany_16059-RA
OG0000209	HEL_000443-RA	Bany_16584-RA
OG0000209	HEL_001019-RA, HEL_001018-RA, HEL_001021-RA, HEL_001017-RA, HEL_001022-RA	Bany_14066-RA
OG0000209	HEL_001020-RA	Bany_16586-RA
OG0000210	HEL_007938-RA	Bany_06148-RA
OG0000211	HEL_012800-RA	Bany_11547-RA
OG0000212	HEL_010931-RA	Bany_10229-RA
OG0000213	HEL_001448-RA	Bany_00465-RA
OG0000213	HEL_001453-RA	Bany_00463-RA
OG0000214	HEL_009701-RA, HEL_006344-RA, HEL_006341-RA, HEL_006346-RA, HEL_006345-RA, HEL_006348-RA, HEL_006349-RA, HEL_006350-RA, HEL_006351-RA, HEL_006342-RA, HEL_006366-RA	Bany_06287-RA
OG0000215	HEL_008533-RA	Bany_02488-RA
OG0000215	HEL_004541-RA	Bany_05620-RA
OG0000215	HEL_011523-RA	Bany_02487-RA
OG0000216	HEL_000005-RA	Bany_10345-RA, Bany_10348-RA, Bany_10346-RA
OG0000217	HEL_006812-RA	Bany_04902-RA
OG0000218	HEL_011596-RA	Bany_03216-RA, Bany_03215-RA, Bany_03218-RA, Bany_03217-RA, Bany_03221-RA, Bany_03223-RA, Bany_03224-RA
OG0000219	HEL_008433-RA	Bany_02621-RA
OG0000219	HEL_011520-RA	Bany_08466-RA
OG0000220	HEL_000160-RA, HEL_000180-RA	Bany_10486-RA
OG0000220	HEL_000185-RA	Bany_10494-RA
OG0000221	HEL_000182-RA	Bany_10492-RA
OG0000221	HEL_000184-RA	Bany_10493-RA
OG0000222	HEL_013041-RA, HEL_013040-RA	Bany_16056-RA, Bany_04103-RA
OG0000224	HEL_011062-RA	Bany_10634-RA
OG0000224	HEL_011059-RA, HEL_011060-RA	Bany_10633-RA, Bany_10632-RA
OG0000227	HEL_013037-RA, HEL_013030-RA	Bany_10948-RA
OG0000229	HEL_003643-RA, HEL_003645-RA, HEL_003644-RA	Bany_09452-RA
OG0000229	HEL_002543-RA	Bany_04487-RA
OG0000230	HEL_007833-RA	Bany_11953-RA
OG0000231	HEL_013550-RA, HEL_013546-RA, HEL_013547-RA, HEL_013545-RA	Bany_01177-RA
OG0000231	HEL_014558-RA, HEL_013548-RA	Bany_14473-RA, Bany_14474-RA
OG0000232	HEL_007965-RA	Bany_06126-RA
OG0000233	HEL_013315-RA	Bany_10114-RA, Bany_10111-RA
OG0000234	HEL_000576-RA	Bany_06823-RA
OG0000234	HEL_000815-RA, HEL_000816-RA, HEL_000265-RA	Bany_06909-RA
OG0000235	HEL_008763-RA	Bany_05454-RA
OG0000235	HEL_008762-RA	Bany_05455-RA
OG0000236	HEL_001074-RA	Bany_13986-RA
OG0000236	HEL_001070-RA	Bany_13983-RA
OG0000237	HEL_012911-RA	Bany_15216-RA
OG0000237	HEL_012910-RA, HEL_012909-RA, HEL_012908-RA	Bany_15215-RA
OG0000238	HEL_011638-RA	Bany_03431-RA
OG0000238	HEL_006325-RA	Bany_06352-RA
OG0000239	HEL_013434-RA	Bany_08440-RA
OG0000240	HEL_005455-RA	Bany_07917-RA
OG0000246	HEL_005502-RA	Bany_15839-RA
