Orthogroup	Heliconius_erato_lativitta	Vanessa_cardui
OG0000216	HEL_000005-RA	Vcard_DToL05432-RA, Vcard_DToL05434-RA
OG0000218	HEL_011596-RA	Vcard_DToL08466-RA, Vcard_DToL08468-RA, Vcard_DToL08465-RA, Vcard_DToL08470-RA
OG0000219	HEL_008433-RA	Vcard_DToL15870-RA
OG0000219	HEL_011520-RA	Vcard_DToL04562-RA
OG0000220	HEL_000160-RA, HEL_000180-RA	Vcard_DToL05227-RA, Vcard_DToL05229-RA
OG0000220	HEL_000185-RA, HEL_000161-RA, HEL_000179-RA, HEL_000178-RA	Vcard_DToL05216-RA
OG0000221	HEL_000182-RA	Vcard_DToL05219-RA
OG0000221	HEL_000184-RA	Vcard_DToL05218-RA, Vcard_DToL05217-RA
OG0000222	HEL_013041-RA, HEL_013040-RA	Vcard_DToL18700-RA
OG0000224	HEL_011057-RA, HEL_011056-RA, HEL_011061-RA, HEL_011062-RA	Vcard_DToL10645-RA
OG0000229	HEL_003643-RA, HEL_003645-RA, HEL_003644-RA, HEL_003649-RA	Vcard_DToL14725-RA
OG0000229	HEL_002543-RA	Vcard_DToL00962-RA
OG0000230	HEL_007833-RA	Vcard_DToL07194-RA
OG0000230	HEL_014523-RA	Vcard_DToL18167-RA
OG0000232	HEL_007965-RA	Vcard_DToL07956-RA
OG0000233	HEL_013315-RA	Vcard_DToL04978-RA, Vcard_DToL04976-RA
OG0000234	HEL_000576-RA	Vcard_DToL17522-RA
OG0000234	HEL_000815-RA, HEL_000816-RA, HEL_000265-RA	Vcard_DToL17436-RA, Vcard_DToL07659-RA, Vcard_DToL07657-RA
OG0000235	HEL_008763-RA	Vcard_DToL03594-RA
OG0000235	HEL_008762-RA	Vcard_DToL03595-RA
OG0000236	HEL_001070-RA	Vcard_DToL11986-RA
OG0000237	HEL_012911-RA	Vcard_DToL09774-RA
OG0000237	HEL_012907-RA	Vcard_DToL09775-RA
OG0000238	HEL_011638-RA	Vcard_DToL08425-RA
OG0000238	HEL_006325-RA	Vcard_DToL06802-RA
OG0000239	HEL_013433-RA	Vcard_DToL04533-RA
OG0000239	HEL_013434-RA	Vcard_DToL04531-RA, Vcard_DToL04532-RA
OG0000246	HEL_005502-RA	Vcard_DToL03003-RA
OG0000247	HEL_001920-RA, HEL_001919-RA, HEL_001918-RA, HEL_001921-RA	Vcard_DToL15275-RA
OG0000248	HEL_013916-RA	Vcard_DToL18456-RA
OG0000248	HEL_013902-RA	Vcard_DToL18500-RA
OG0000249	HEL_000469-RA, HEL_000470-RA	Vcard_DToL13885-RA
OG0000250	HEL_013910-RA	Vcard_DToL18410-RA
OG0000252	HEL_007886-RA, HEL_007887-RA	Vcard_DToL06474-RA
OG0000254	HEL_011399-RA, HEL_011397-RA, HEL_011398-RA	Vcard_DToL17603-RA
OG0000254	HEL_011400-RA	Vcard_DToL17610-RA
OG0000254	HEL_011401-RA	Vcard_DToL17608-RA
OG0000256	HEL_009147-RA, HEL_010502-RA	Vcard_DToL01480-RA
OG0000257	HEL_006039-RA, HEL_006037-RA, HEL_006036-RA	Vcard_DToL07238-RA
OG0000257	HEL_008272-RA	Vcard_DToL08160-RA
OG0000258	HEL_000386-RA	Vcard_DToL13978-RA, Vcard_DToL13991-RA, Vcard_DToL17041-RA
OG0000258	HEL_000388-RA, HEL_000387-RA	Vcard_DToL13992-RA
OG0000259	HEL_011529-RA, HEL_011528-RA, HEL_011531-RA, HEL_011530-RA	Vcard_DToL09884-RA
OG0000260	HEL_000640-RA, HEL_000638-RA, HEL_000627-RA	Vcard_DToL17440-RA
OG0000262	HEL_003824-RA, HEL_003830-RA, HEL_003829-RA	Vcard_DToL14416-RA
OG0000262	HEL_003831-RA	Vcard_DToL14415-RA
OG0000263	HEL_004884-RA	Vcard_DToL18015-RA, Vcard_DToL08102-RA, Vcard_DToL18007-RA, Vcard_DToL09562-RA, Vcard_DToL18003-RA, Vcard_DToL02047-RA
OG0000264	HEL_000152-RA	Vcard_DToL05256-RA
OG0000264	HEL_000145-RA	Vcard_DToL03377-RA, Vcard_DToL05269-RA
OG0000265	HEL_013915-RA	Vcard_DToL18455-RA
OG0000271	HEL_002185-RA	Vcard_DToL17340-RA
OG0000272	HEL_003415-RA	Vcard_DToL16752-RA, Vcard_DToL07549-RA
OG0000273	HEL_004292-RA	Vcard_DToL10510-RA
OG0000273	HEL_011028-RA	Vcard_DToL10633-RA
OG0000274	HEL_008935-RA	Vcard_DToL11340-RA
OG0000276	HEL_001740-RA	Vcard_DToL01827-RA
OG0000277	HEL_010687-RA	Vcard_DToL07576-RA
OG0000279	HEL_011096-RA	Vcard_DToL02764-RA
OG0000281	HEL_009096-RA	Vcard_DToL08878-RA
OG0000281	HEL_005808-RA	Vcard_DToL12847-RA
OG0000283	HEL_013294-RA	Vcard_DToL04959-RA
OG0000284	HEL_001551-RA, HEL_001550-RA	Vcard_DToL02096-RA
OG0000284	HEL_001552-RA	Vcard_DToL02094-RA
OG0000285	HEL_004245-RA	Vcard_DToL10459-RA
OG0000285	HEL_004247-RA	Vcard_DToL10455-RA, Vcard_DToL10457-RA
OG0000286	HEL_007502-RA, HEL_007508-RA, HEL_007503-RA	Vcard_DToL04330-RA
